"Banque","Type","Adresse","Longitude","Latitude"
"Bnp Paribas","Lucrative","58, Rue Alexandre Berard , 01500 Ambérieu-en-Bugey",5.356076,45.963993
"Bnp Paribas","Lucrative","Rue Saint Jean , 01300 Belley",5.688138,45.757649
"Bnp Paribas","Lucrative","6, Rue Clavagry , 01000 Bourg-en-Bresse",5.223954,46.204321
"Bnp Paribas","Lucrative","557, Avenue de Geneve , 01220 Divonne-les-Bains",6.1425,46.351661
"Bnp Paribas","Lucrative","46, Avenue Voltaire , 01210 Ferney-Voltaire",6.11269,46.259775
"Bnp Paribas","Lucrative","20, Rue de Lyon , 01800 Meximieux",5.190653,45.902344
"Bnp Paribas","Lucrative","1080, Grande Rue , 01700 Miribel",4.953903,45.824341
"Bnp Paribas","Lucrative","1, Avenue de Bresse , 01460 Montréal-la-Cluse",5.575885,46.170888
"Bnp Paribas","Lucrative","124, Rue Anatole France , 01100 Oyonnax",5.656217,46.257738
"Bnp Paribas","Lucrative","32, Rue de Geneve , 01630 Saint-Genis-Pouilly",6.024667,46.242075
"Bnp Paribas","Lucrative","33, Rue Francis de Pressence , 02110 Bohain-en-Vermandois",3.455195,49.985209
"Bnp Paribas","Lucrative","31, B Avenue de Soissons , 02400 Château-Thierry",3.398819,49.04657
"Bnp Paribas","Lucrative","17, Place du Marche Couvert , 02300 Chauny",3.220844,49.61235
"Bnp Paribas","Lucrative","31, Rue des Docteurs Devillers , 02120 Guise",3.629606,49.900203
"Bnp Paribas","Lucrative","2, Rue des Ecoles , 02500 Hirson",4.081462,49.924043
"Bnp Paribas","Lucrative","2, Avenue Carnot , 02000 Laon",3.624172,49.568487
"Bnp Paribas","Lucrative","18, Place du General de Gaulle , 02170 Le Nouvion-en-Thiérache",3.785421,50.016502
"Bnp Paribas","Lucrative","Place Francois Mitterrand , 02250 Marle",3.771126,49.739426
"Bnp Paribas","Lucrative","23, Rue Raspail , 02100 Saint-Quentin",3.287153,49.848844
"Bnp Paribas","Lucrative","1, Place de la Republique , 02200 Soissons",3.329224,49.37664
"Bnp Paribas","Lucrative","7, Avenue du Preau , 02140 Vervins",3.903938,49.833922
"Bnp Paribas","Lucrative","11, Rue Alexandre Dumas , 02600 Villers-Cotterêts",3.0914,49.253326
"Bnp Paribas","Lucrative","8, Rue de la Burge , 03160 Bourbon-l'Archambault",3.05866,46.58659
"Bnp Paribas","Lucrative","35, B Rue Jean Jaures , 03600 Commentry",2.740721,46.291292
"Bnp Paribas","Lucrative","6, Cours de la Republique , 03800 Gannat",3.197731,46.101395
"Bnp Paribas","Lucrative","3, Rue Albert Einstein , 03100 Montluçon",2.599998,46.348089
"Bnp Paribas","Lucrative","5 Rue Datas , 03000 Moulins",3.329922,46.564354
"Bnp Paribas","Lucrative","14, Place Georges Clemenceau , 03500 Saint-Pourçain-sur-Sioule",3.29097,46.308254
"Bnp Paribas","Lucrative","27, Rue Georges Clemenceau , 03200 Vichy",3.422593,46.125448
"Bnp Paribas","Lucrative","9, Rue Manuel , 04400 Barcelonnette",6.652767,44.387258
"Bnp Paribas","Lucrative","5, Boulevard Gassendi , 04000 Digne-les-Bains",6.231964,44.091379
"Bnp Paribas","Lucrative","Place du Docteur Joubert , 04100 Manosque",5.784168,43.830717
"Bnp Paribas","Lucrative","341, Boulevard du Moulin Neuf , 04100 Manosque",5.811356,43.844076
"Bnp Paribas","Lucrative","151, Rue de Provence , 04200 Sisteron",5.941946,44.196113
"Bnp Paribas","Lucrative","5, Rue Centrale , 05100 Briançon",6.635211,44.896422
"Bnp Paribas","Lucrative","58, Rue Clovis Hugues , 05200 Embrun",6.496948,44.565243
"Bnp Paribas","Lucrative","12, Rue Carnot , 05000 Gap",6.080624,44.558955
"Bnp Paribas","Lucrative","54-56 Place de la Fontaine , 05300 Laragne-Montéglin",5.823454,44.314253
"Bnp Paribas","Lucrative","9, Place de la Republique , 05400 Veynes",5.824384,44.534427
"Bnp Paribas","Lucrative","9, Avenue Robert Soleau , 06600 Antibes",7.120591,43.581414
"Bnp Paribas","Lucrative","1160 Rte de Grasse, 06600 Antibes",7.093696,43.594487
"Bnp Paribas","Lucrative","30, Boulevard Marinoni , 06310 Beaulieu-sur-Mer",7.331034,43.707873
"Bnp Paribas","Lucrative","495, Route de la Mer / Centre Commercial de Biot 3000 , 06410 Biot",7.103062,43.624669
"Bnp Paribas","Lucrative","11, Place du General de Gaulle , 06800 Cagnes-sur-Mer",7.150569,43.663925
"Bnp Paribas","Lucrative","18, Avenue des Oliviers , 06800 Cagnes-sur-Mer",7.16517,43.658276
"Bnp Paribas","Lucrative","23, Rue D'Antibes , 06405 Cannes",7.018319,43.552523
"Bnp Paribas","Lucrative","42, Avenue du Marechal Juin , 06400 Cannes",7.034827,43.549313
"Bnp Paribas","Lucrative","10, Rue Monseigneur Jeancard , 06400 Cannes",6.977743,43.550307
"Bnp Paribas","Lucrative","118, Avenue du 3 Septembre , 06320 Cap-d'Ail",7.396487,43.723078
"Bnp Paribas","Lucrative","890, Route Departementale 1 , 06510 Carros",7.175498,43.766161
"Bnp Paribas","Lucrative","45, Rue D'Opio , 06740 Châteauneuf-Grasse",6.974455,43.677851
"Bnp Paribas","Lucrative","2, Route de Cannes , 06130 Grasse",6.960109,43.6274
"Bnp Paribas","Lucrative","14 Av. Maréchal Joffre, 06160 Antibes",7.110839,43.569177
"Bnp Paribas","Lucrative","Boulevard Honore Teisseire , 06480 La Colle-sur-Loup",7.10382,43.686175
"Bnp Paribas","Lucrative","6, Avenue du General de Gaulle , 06320 La Turbie",7.400379,43.745694
"Bnp Paribas","Lucrative","1, Boulevard Paul Doumer , 06110 Le Cannet",7.015773,43.567635
"Bnp Paribas","Lucrative","73, Avenue Franklin Roosevelt / le Mercurey , 06110 Le Cannet",6.999883,43.573076
"Bnp Paribas","Lucrative","437, Avenue de Cannes , 06210 Mandelieu-la-Napoule",6.93719,43.543796
"Bnp Paribas","Lucrative","18, Avenue Felix Faure , 06500 Menton",7.50209,43.774641
"Bnp Paribas","Lucrative","116, Avenue de Cannes , 06370 Mouans-Sartoux",6.971364,43.619516
"Bnp Paribas","Lucrative","762 Avenue de Tournamy , 06250 Mougins",6.986713,43.602641
"Bnp Paribas","Lucrative","10, Rue Barla , 06000 Nice",7.229908,43.686947
"Bnp Paribas","Lucrative","49, Avenue Borriglione , 06000 Nice",7.261473,43.714528
"Bnp Paribas","Lucrative","230, Avenue de la Californie , 06000 Nice",7.230306,43.680658
"Bnp Paribas","Lucrative","144, Rue de France , 06000 Nice",7.249593,43.693164
"Bnp Paribas","Lucrative","1, Place du Commandant Marcel Gerome , 06000 Nice",7.274829,43.7251
"Bnp Paribas","Lucrative","66, Boulevard Napoleon III , 06000 Nice",7.226503,43.686815
"Bnp Paribas","Lucrative","6, Place Fontaine du Temple , 06000 Nice",7.272346,43.699375
"Bnp Paribas","Lucrative","34, Boulevard Gambetta , 06000 Nice",7.256319,43.69905
"Bnp Paribas","Lucrative","122, Boulevard Gambetta , 06000 Nice",7.256142,43.707455
"Bnp Paribas","Lucrative","27, Avenue Malaussena , 06000 Nice",7.262601,43.708232
"Bnp Paribas","Lucrative","1, Place de l Ile de Beaute , 06000 Nice",7.286167,43.69863
"Bnp Paribas","Lucrative","36, Rue de France , 06000 Nice",7.260302,43.695848
"Bnp Paribas","Lucrative","46, Boulevard Saint-Roch , 06000 Nice",7.292962,43.71231
"Bnp Paribas","Lucrative","2, Boulevard Victor Hugo , 06000 Nice",7.267487,43.700501
"Bnp Paribas","Lucrative","77 Av. de Grasse, 06580 Pégomas",6.928871,43.593531
"Bnp Paribas","Lucrative","5, Avenue de Boutigny , 06530 Peymeinade",6.877251,43.640343
"Bnp Paribas","Lucrative","256, Avenue Aristide Briand , 06190 Roquebrune-Cap-Martin",7.487228,43.765575
"Bnp Paribas","Lucrative","927, Avenue du General de Gaulle , 06700 Saint-Laurent-du-Var",7.192524,43.667089
"Bnp Paribas","Lucrative","1, Avenue Marc Moschetti , 06700 Saint-Laurent-du-Var",7.188239,43.667448
"Bnp Paribas","Lucrative","Rond Point Sainte Claire , 06570 Saint-Paul",7.121361,43.699178
"Bnp Paribas","Lucrative","695, Route des Dolines , 06560 Valbonne",7.037913,43.621935
"Bnp Paribas","Lucrative","16, Rue d Opio , 06560 Valbonne",7.007934,43.642732
"Bnp Paribas","Lucrative","24, Avenue de la Gare , 06220 Vallauris",7.074102,43.567207
"Bnp Paribas","Lucrative","28, Place du Grand Jardin , 06140 Vence",7.111475,43.722692
"Bnp Paribas","Lucrative","1, Route du Bord de Mer , 06270 Villeneuve-Loubet",7.142219,43.641295
"Bnp Paribas","Lucrative","1, Place des Cordeliers , 07100 Annonay",4.67279,45.240335
"Bnp Paribas","Lucrative","31, Boulevard Gambetta , 07200 Aubenas",4.391049,44.619625
"Bnp Paribas","Lucrative","34, Rue Alexandre Dumas / Immeuble Santa Estella , 07500 Guilherand-Granges",4.87706,44.934956
"Bnp Paribas","Lucrative","2, Rue Rampon , 07800 La Voulte-sur-Rhône",4.781362,44.800273
"Bnp Paribas","Lucrative","Cours de l Esplanade , 07000 Privas",4.597965,44.734751
"Bnp Paribas","Lucrative","Rue Thiers Et Rue du Parc , 07300 Tournon-sur-Rhône",4.834404,45.066
"Bnp Paribas","Lucrative","2, Cours Aristide Briand , 08000 Charleville-Mézières",4.719207,49.77039
"Bnp Paribas","Lucrative","6, Rue Pierre Curie , 08300 Rethel",4.365235,49.509595
"Bnp Paribas","Lucrative","5, Avenue du Marechal Leclerc , 08200 Sedan",4.945569,49.699258
"Bnp Paribas","Lucrative","53, Cours Gabriel Faure , 09000 Foix",1.604872,42.963691
"Bnp Paribas","Lucrative","2, Avenue du 11 Novembre 1918 , 09300 Lavelanet",1.848983,42.932921
"Bnp Paribas","Lucrative","2, Route de Foix , 09100 Pamiers",1.619725,43.10491
"Bnp Paribas","Lucrative","7, Rue du Theatre , 10200 Bar-sur-Aube",4.70552,48.233012
"Bnp Paribas","Lucrative","20, Rue de la Republique , 10110 Bar-sur-Seine",4.374928,48.114433
"Bnp Paribas","Lucrative","26, Rue de l Hotel Dieu , 10400 Nogent-sur-Seine",3.500122,48.493548
"Bnp Paribas","Lucrative","2, Avenue Jules Guesde , 10150 Pont-Sainte-Marie",4.098974,48.3144
"Bnp Paribas","Lucrative","56, Rue de la Boule d Or , 10100 Romilly-sur-Seine",3.726034,48.517312
"Bnp Paribas","Lucrative","41, Avenue du General Gallieni , 10300 Sainte-Savine",4.05811,48.294103
"Bnp Paribas","Lucrative","53, Rue du General de Gaulle , 10000 Troyes",4.072355,48.298254
"Bnp Paribas","Lucrative","120, Avenue Pierre Brossolette , 10000 Troyes",4.076953,48.287954
"Bnp Paribas","Lucrative","58, Rue Emile Zola , 10000 Troyes",4.074822,48.296521
"Bnp Paribas","Lucrative","1, Rue Georges Clemenceau , 11000 Carcassonne",2.352183,43.213518
"Bnp Paribas","Lucrative","Zone Comm. Planete Nord Ferraudiere , 11000 Carcassonne",2.305717,43.187114
"Bnp Paribas","Lucrative","2, Rue Jean Baptiste de Maille , 11400 Castelnaudary",1.952381,43.317936
"Bnp Paribas","Lucrative","3, Avenue du President Wilson , 11200 Lézignan-Corbières",2.759979,43.200981
"Bnp Paribas","Lucrative","2, Place du General Leclerc , 11300 Limoux",2.216495,43.053677
"Bnp Paribas","Lucrative","50, Rue Jean Jaures , 11100 Narbonne",3.001523,43.184654
"Bnp Paribas","Lucrative","201, Rue Jean Jaures , 11210 Port-la-Nouvelle",3.042664,43.022722
"Bnp Paribas","Lucrative","3, Avenue Pasteur , 11500 Quillan",2.184207,42.876842
"Bnp Paribas","Lucrative","20, Rue Cayrade , 12300 Decazeville",2.255325,44.557687
"Bnp Paribas","Lucrative","33, Boulevard Joseph Poulenc , 12500 Espalion",2.761951,44.521039
"Bnp Paribas","Lucrative","2, Avenue Alfred Merle , 12100 Millau",3.077246,44.101098
"Bnp Paribas","Lucrative","2, Avenue Jean Monnet , 12000 Rodez",2.560036,44.357156
"Bnp Paribas","Lucrative","5, Avenue Victor Hugo , 12000 Rodez",2.571524,44.35097
"Bnp Paribas","Lucrative","9, Boulevard Charles de Gaulle , 12400 Saint-Affrique",2.885439,43.958526
"Bnp Paribas","Lucrative","29, Rue de la Republique , 12200 Villefranche-de-Rouergue",2.037317,44.350796
