"Banque","Type","Adresse","Longitude","Latitude"
"Credit Agricole","Coopérative","25 CHEMIN DES 3 CYPRÈS  13090 AIX-EN-PROVENCE",5.405195,43.530061
"Credit Agricole","Coopérative","3 BOULEVARD CARNOT  13100 AIX-EN-PROVENCE",5.45425,43.525333
"Credit Agricole","Coopérative","645 ROUTE DE BERRE  13090 AIX-EN-PROVENCE",5.409067,43.53503
"Credit Agricole","Coopérative","9 A COURS MARCEL BREMOND  13290 AIX-EN-PROVENCE",5.387137,43.504237
"Credit Agricole","Coopérative","25 RUE MONCLAR  13100 AIX-EN-PROVENCE",5.449124,43.528984
"Credit Agricole","Coopérative","37 AVENUE FORTUNÉ FERRINI  13090 AIX-EN-PROVENCE",5.436692,43.507632
"Credit Agricole","Coopérative","10 COURS SEXTIUS  13100 AIX-EN-PROVENCE",5.443305,43.527801
"Credit Agricole","Coopérative","25 CHEMIN DES 3 CYPRÈS  13097 AIX-EN-PROVENCE",5.405195,43.530061
"Credit Agricole","Coopérative","22 AVENUE HENRI PONTIER  13100 AIX-EN-PROVENCE",5.439681,43.532985
"Credit Agricole","Coopérative","423 AVENUE DU 7ÈME RÉGIMENT DU TIRAILLEUR ALGÉRIENS  13190 ALLAUCH",5.472712,43.337784
"Credit Agricole","Coopérative","35 AVENUE ERNEST PERRIN  84210 ALTHEN-DES-PALUDS",4.957433,44.005218
"Credit Agricole","Coopérative","170 AVENUE VICTOR HUGO  84400 APT",5.390707,43.87752
"Credit Agricole","Coopérative","7 RUE PARMENTIER  13200 ARLES",4.626848,43.674732
"Credit Agricole","Coopérative","22 RUE DE LA VERRERIE  13200 ARLES",4.620222,43.680223
"Credit Agricole","Coopérative","4 RUE DE LA PAIX  13200 ARLES",4.626677,43.67427
"Credit Agricole","Coopérative","5 AVENUE DU 8 MAI  13400 AUBAGNE",5.5665,43.294111
"Credit Agricole","Coopérative","100 IMPASSE DES MARTINETS  13400 AUBAGNE",5.595257,43.29772
"Credit Agricole","Coopérative","100 IMPASSE DES MARTINETS  13400 AUBAGNE",5.595257,43.29772
"Credit Agricole","Coopérative","COURS DU 4 SEPTEMBRE  13390 AURIOL",5.633762,43.369217
"Credit Agricole","Coopérative","168 AVENUE PIERRE SEMARD  84000 AVIGNON",4.842591,43.927653
"Credit Agricole","Coopérative","50 RUE DE LA BONNETERIE  84000 AVIGNON",4.809855,43.947161
"Credit Agricole","Coopérative","43 COURS JEAN JAURÈS  84000 AVIGNON",4.805552,43.944166
