"Banque","Type","Adresse","Longitude","Latitude"
"Société Générale","Lucrative","1 AVENUE DE VERDUN01500 AMBERIEU EN BUGEY",5.352692,45.960745
"Société Générale","Lucrative","30 BD DU MAIL01300 BELLEY",5.688976,45.760242
"Société Générale","Lucrative","15 PL BERNARD01000 BOURG-EN-BRESSE",5.228049,46.206916
"Société Générale","Lucrative","252 AV DE GENEVE01220 DIVONNE LES BAINS",6.13997,46.353359
"Société Générale","Lucrative","4 AV VOLTAIRE01210 FERNEY-VOLTAIRE",6.108773,46.256174
"Société Générale","Lucrative","39 PLACE DU JURA01170 GEX",6.059007,46.332269
"Société Générale","Lucrative","84 R LEON M FOURNET01480 JASSANS RIOTTIER",4.75626,45.985459
"Société Générale","Lucrative","53 RUE PASTEUR01150 LAGNIEU",5.348672,45.90266
"Société Générale","Lucrative","5 RUE DE LYON01800 MEXIMIEUX",5.191584,45.902873
"Société Générale","Lucrative","7 ET 9 RUE FRANCISCO FERRER01100 OYONNAX",5.657156,46.257332
"Société Générale","Lucrative","3 RUE DE GEX01630 SAINT-GENIS-POUILLY",6.02089,46.243471
"Société Générale","Lucrative","24 RUE LA REPUBLIQUE01200 BELLEGARDE-SUR-VALSERINE",5.827102,46.107772
"Société Générale","Lucrative","1 RUE DU CHATEAU02110 BOHAIN EN VERMANDOIS",3.455209,49.986678
"Société Générale","Lucrative","3 PL DU GAL DE GAULLE02310 CHARLY",5.352386,43.465592
"Société Générale","Lucrative","1 PL DES ETATS UNIS02400 CHATEAU-THIERRY",3.402076,49.044533
"Société Générale","Lucrative","24 RUE ARTHUR LACROIX02300 CHAUNY",3.222444,49.612105
"Société Générale","Lucrative","135 PL D'ARMES02120 GUISE",3.626907,49.900723
"Société Générale","Lucrative","35 RUE DE LA REPUBLIQUE02800 LA FERE",3.366891,49.661257
"Société Générale","Lucrative","7 BD DE LYON02000 LAON",3.624766,49.56966
"Société Générale","Lucrative","30 RUE ISLE02100 SAINT QUENTIN",3.292839,49.845879
"Société Générale","Lucrative","41 RUE SAINT-MARTIN02200 SOISSONS",3.328184,49.379103
"Société Générale","Lucrative","41 RUE SAINT MARTIN02200 SOISSONS",3.328184,49.379103
"Société Générale","Lucrative","30 RUE ISLE02100 SAINT-QUENTIN",3.292839,49.845879
"Société Générale","Lucrative","1 PL DU CENTENAIRE02140 VERVINS",3.904894,49.833227
"Société Générale","Lucrative","2 RUE ALEXANDRE DUMAS02600 VILLERS COTTERETS",3.090717,49.253574
"Société Générale","Lucrative","3 PL CENTENAIRE DE LA REPUBLI03300 CUSSET",3.454918,46.134376
"Société Générale","Lucrative","50 GRANDE RUE03800 GANNAT",3.19733,46.100613
"Société Générale","Lucrative","6B BD DE COURTAIS03100 MONTLUCON",2.601499,46.340985
"Société Générale","Lucrative","48 PL D'ALLIER03000 MOULINS",4.931856,44.001379
"Société Générale","Lucrative","1 AV PASTEUR03500 ST POURCAIN/SIO.",3.291107,46.309169
"Société Générale","Lucrative","22 RUE PD WILSON03200 VICHY",3.428477,46.129624
"Société Générale","Lucrative","22 RUE DU PRESIDENT WILSON03200 VICHY",3.421021,46.124991
"Société Générale","Lucrative","RUE F DE LESSEPS04000 DIGNE LES BAINS",6.189919,44.07656
"Société Générale","Lucrative","ROUTE NATIONALE 9604700 LA BRILLANNE",5.889802,43.930792
"Société Générale","Lucrative","304 B AV DE LA LIBERATION04100 MANOSQUE",5.794106,43.820024
"Société Générale","Lucrative","15 AV PAUL ARENE04200 SISTERON",5.94272,44.19549
