"Banque","Type","Adresse","Longitude","Latitude"
"Bnp Paribas","Lucrative","58, RUE ALEXANDRE BERARD , 01500 AMBÉRIEU-EN-BUGEY",5.356076,45.963993
"Bnp Paribas","Lucrative","RUE SAINT JEAN , 01300 BELLEY",5.688138,45.757649
"Bnp Paribas","Lucrative","6, RUE CLAVAGRY , 01000 BOURG-EN-BRESSE",5.223954,46.204321
"Bnp Paribas","Lucrative","557, AVENUE DE GENEVE , 01220 DIVONNE-LES-BAINS",6.1425,46.351661
"Bnp Paribas","Lucrative","46, AVENUE VOLTAIRE , 01210 FERNEY-VOLTAIRE",6.11269,46.259775
"Bnp Paribas","Lucrative","20, RUE DE LYON , 01800 MEXIMIEUX",5.190653,45.902344
"Bnp Paribas","Lucrative","1080, GRANDE RUE , 01700 MIRIBEL",4.953903,45.824341
"Bnp Paribas","Lucrative","1, AVENUE DE BRESSE , 01460 MONTRÉAL-LA-CLUSE",5.575885,46.170888
"Bnp Paribas","Lucrative","124, RUE ANATOLE FRANCE , 01100 OYONNAX",5.656217,46.257738
"Bnp Paribas","Lucrative","32, RUE DE GENEVE , 01630 SAINT-GENIS-POUILLY",6.024667,46.242075
"Bnp Paribas","Lucrative","33, RUE FRANCIS DE PRESSENCE , 02110 BOHAIN-EN-VERMANDOIS",3.455195,49.985209
"Bnp Paribas","Lucrative","31, B AVENUE DE SOISSONS , 02400 CHÂTEAU-THIERRY",3.398819,49.04657
"Bnp Paribas","Lucrative","17, PLACE DU MARCHE COUVERT , 02300 CHAUNY",3.220844,49.61235
"Bnp Paribas","Lucrative","31, RUE DES DOCTEURS DEVILLERS , 02120 GUISE",3.629606,49.900203
"Bnp Paribas","Lucrative","2, RUE DES ECOLES , 02500 HIRSON",4.081462,49.924043
"Bnp Paribas","Lucrative","2, AVENUE CARNOT , 02000 LAON",3.624172,49.568487
"Bnp Paribas","Lucrative","18, PLACE DU GENERAL DE GAULLE , 02170 LE NOUVION-EN-THIÉRACHE",3.785421,50.016502
"Bnp Paribas","Lucrative","PLACE FRANCOIS MITTERRAND , 02250 MARLE",3.771126,49.739426
"Bnp Paribas","Lucrative","23, RUE RASPAIL , 02100 SAINT-QUENTIN",3.287153,49.848844
"Bnp Paribas","Lucrative","1, PLACE DE LA REPUBLIQUE , 02200 SOISSONS",3.329224,49.37664
"Bnp Paribas","Lucrative","7, AVENUE DU PREAU , 02140 VERVINS",3.903938,49.833922
"Bnp Paribas","Lucrative","11, RUE ALEXANDRE DUMAS , 02600 VILLERS-COTTERÊTS",3.0914,49.253326
"Bnp Paribas","Lucrative","8, RUE DE LA BURGE , 03160 BOURBON-L'ARCHAMBAULT",3.05866,46.58659
"Bnp Paribas","Lucrative","35, B RUE JEAN JAURES , 03600 COMMENTRY",2.740721,46.291292
"Bnp Paribas","Lucrative","6, COURS DE LA REPUBLIQUE , 03800 GANNAT",3.197731,46.101395
"Bnp Paribas","Lucrative","3, RUE ALBERT EINSTEIN , 03100 MONTLUÇON",2.599998,46.348089
"Bnp Paribas","Lucrative","5 RUE DATAS , 03000 MOULINS",3.329922,46.564354
"Bnp Paribas","Lucrative","14, PLACE GEORGES CLEMENCEAU , 03500 SAINT-POURÇAIN-SUR-SIOULE",3.29097,46.308254
"Bnp Paribas","Lucrative","27, RUE GEORGES CLEMENCEAU , 03200 VICHY",3.422593,46.125448
"Bnp Paribas","Lucrative","9, RUE MANUEL , 04400 BARCELONNETTE",6.652767,44.387258
"Bnp Paribas","Lucrative","5, BOULEVARD GASSENDI , 04000 DIGNE-LES-BAINS",6.231964,44.091379
"Bnp Paribas","Lucrative","PLACE DU DOCTEUR JOUBERT , 04100 MANOSQUE",5.784168,43.830717
"Bnp Paribas","Lucrative","341, BOULEVARD DU MOULIN NEUF , 04100 MANOSQUE",5.79668,43.832548
"Bnp Paribas","Lucrative","151, RUE DE PROVENCE , 04200 SISTERON",5.941946,44.196113
"Bnp Paribas","Lucrative","5, RUE CENTRALE , 05100 BRIANÇON",6.635211,44.896422
"Bnp Paribas","Lucrative","58, RUE CLOVIS HUGUES , 05200 EMBRUN",6.496948,44.565243
"Bnp Paribas","Lucrative","12, RUE CARNOT , 05000 GAP",6.080624,44.558955
"Bnp Paribas","Lucrative","54-56 PLACE DE LA FONTAINE , 05300 LARAGNE-MONTÉGLIN",5.823454,44.314253
"Bnp Paribas","Lucrative","9, PLACE DE LA REPUBLIQUE , 05400 VEYNES",5.824384,44.534427
"Bnp Paribas","Lucrative","9, AVENUE ROBERT SOLEAU , 06600 ANTIBES",7.120591,43.581414
"Bnp Paribas","Lucrative","1160 RTE DE GRASSE, 06600 ANTIBES",7.093696,43.594487
"Bnp Paribas","Lucrative","30, BOULEVARD MARINONI , 06310 BEAULIEU-SUR-MER",7.331034,43.707873
"Bnp Paribas","Lucrative","495, ROUTE DE LA MER / CENTRE COMMERCIAL DE BIOT 3000 , 06410 BIOT",7.103062,43.624669
"Bnp Paribas","Lucrative","11, PLACE DU GENERAL DE GAULLE , 06800 CAGNES-SUR-MER",7.150569,43.663925
"Bnp Paribas","Lucrative","18, AVENUE DES OLIVIERS , 06800 CAGNES-SUR-MER",7.16517,43.658276
"Bnp Paribas","Lucrative","23, RUE D'ANTIBES , 06405 CANNES",7.018319,43.552523
"Bnp Paribas","Lucrative","42, AVENUE DU MARECHAL JUIN , 06400 CANNES",7.034827,43.549313
"Bnp Paribas","Lucrative","10, RUE MONSEIGNEUR JEANCARD , 06400 CANNES",6.977743,43.550307
"Bnp Paribas","Lucrative","118, AVENUE DU 3 SEPTEMBRE , 06320 CAP-D'AIL",7.396487,43.723078
"Bnp Paribas","Lucrative","890, ROUTE DEPARTEMENTALE 1 , 06510 CARROS",7.175498,43.766161
"Bnp Paribas","Lucrative","45, RUE D'OPIO , 06740 CHÂTEAUNEUF-GRASSE",6.974455,43.677851
"Bnp Paribas","Lucrative","2, ROUTE DE CANNES , 06130 GRASSE",6.960109,43.6274
"Bnp Paribas","Lucrative","14 AV. MARÉCHAL JOFFRE, 06160 ANTIBES",7.110839,43.569177
"Bnp Paribas","Lucrative","BOULEVARD HONORE TEISSEIRE , 06480 LA COLLE-SUR-LOUP",7.10382,43.686175
"Bnp Paribas","Lucrative","6, AVENUE DU GENERAL DE GAULLE , 06320 LA TURBIE",7.400379,43.745694
"Bnp Paribas","Lucrative","1, BOULEVARD PAUL DOUMER , 06110 LE CANNET",7.015773,43.567635
"Bnp Paribas","Lucrative","73, AVENUE FRANKLIN ROOSEVELT / LE MERCUREY , 06110 LE CANNET",6.999883,43.573076
"Bnp Paribas","Lucrative","437, AVENUE DE CANNES , 06210 MANDELIEU-LA-NAPOULE",6.93719,43.543796
"Bnp Paribas","Lucrative","18, AVENUE FELIX FAURE , 06500 MENTON",7.50209,43.774641
"Bnp Paribas","Lucrative","116, AVENUE DE CANNES , 06370 MOUANS-SARTOUX",6.971364,43.619516
"Bnp Paribas","Lucrative","762 AVENUE DE TOURNAMY , 06250 MOUGINS",6.986713,43.602641
"Bnp Paribas","Lucrative","10, RUE BARLA , 06000 NICE",7.229908,43.686947
"Bnp Paribas","Lucrative","49, AVENUE BORRIGLIONE , 06000 NICE",7.261473,43.714528
"Bnp Paribas","Lucrative","230, AVENUE DE LA CALIFORNIE , 06000 NICE",7.230306,43.680658
"Bnp Paribas","Lucrative","144, RUE DE FRANCE , 06000 NICE",7.249593,43.693164
"Bnp Paribas","Lucrative","1, PLACE DU COMMANDANT MARCEL GEROME , 06000 NICE",7.274829,43.7251
"Bnp Paribas","Lucrative","66, BOULEVARD NAPOLEON III , 06000 NICE",7.226503,43.686815
"Bnp Paribas","Lucrative","6, PLACE FONTAINE DU TEMPLE , 06000 NICE",7.272346,43.699375
"Bnp Paribas","Lucrative","34, BOULEVARD GAMBETTA , 06000 NICE",7.256319,43.69905
"Bnp Paribas","Lucrative","122, BOULEVARD GAMBETTA , 06000 NICE",7.256142,43.707455
"Bnp Paribas","Lucrative","27, AVENUE MALAUSSENA , 06000 NICE",7.262601,43.708232
"Bnp Paribas","Lucrative","1, PLACE DE L ILE DE BEAUTE , 06000 NICE",7.286167,43.69863
"Bnp Paribas","Lucrative","36, RUE DE FRANCE , 06000 NICE",7.260302,43.695848
"Bnp Paribas","Lucrative","46, BOULEVARD SAINT-ROCH , 06000 NICE",7.292962,43.71231
"Bnp Paribas","Lucrative","2, BOULEVARD VICTOR HUGO , 06000 NICE",7.267487,43.700501
"Bnp Paribas","Lucrative","77 AV. DE GRASSE, 06580 PÉGOMAS",6.928871,43.593531
"Bnp Paribas","Lucrative","5, AVENUE DE BOUTIGNY , 06530 PEYMEINADE",6.877251,43.640343
"Bnp Paribas","Lucrative","256, AVENUE ARISTIDE BRIAND , 06190 ROQUEBRUNE-CAP-MARTIN",7.487228,43.765575
"Bnp Paribas","Lucrative","927, AVENUE DU GENERAL DE GAULLE , 06700 SAINT-LAURENT-DU-VAR",7.192524,43.667089
"Bnp Paribas","Lucrative","1, AVENUE MARC MOSCHETTI , 06700 SAINT-LAURENT-DU-VAR",7.188239,43.667448
"Bnp Paribas","Lucrative","ROND POINT SAINTE CLAIRE , 06570 SAINT-PAUL",7.121361,43.699178
"Bnp Paribas","Lucrative","695, ROUTE DES DOLINES , 06560 VALBONNE",7.037913,43.621935
"Bnp Paribas","Lucrative","16, RUE D OPIO , 06560 VALBONNE",7.007934,43.642732
"Bnp Paribas","Lucrative","24, AVENUE DE LA GARE , 06220 VALLAURIS",7.074102,43.567207
"Bnp Paribas","Lucrative","28, PLACE DU GRAND JARDIN , 06140 VENCE",7.111475,43.722692
"Bnp Paribas","Lucrative","1, ROUTE DU BORD DE MER , 06270 VILLENEUVE-LOUBET",7.142219,43.641295
"Bnp Paribas","Lucrative","1, PLACE DES CORDELIERS , 07100 ANNONAY",4.67279,45.240335
"Bnp Paribas","Lucrative","31, BOULEVARD GAMBETTA , 07200 AUBENAS",4.391049,44.619625
"Bnp Paribas","Lucrative","34, RUE ALEXANDRE DUMAS / IMMEUBLE SANTA ESTELLA , 07500 GUILHERAND-GRANGES",4.87706,44.934956
"Bnp Paribas","Lucrative","2, RUE RAMPON , 07800 LA VOULTE-SUR-RHÔNE",4.781362,44.800273
"Bnp Paribas","Lucrative","COURS DE L ESPLANADE , 07000 PRIVAS",4.597965,44.734751
"Bnp Paribas","Lucrative","RUE THIERS ET RUE DU PARC , 07300 TOURNON-SUR-RHÔNE",4.834404,45.066
"Bnp Paribas","Lucrative","2, COURS ARISTIDE BRIAND , 08000 CHARLEVILLE-MÉZIÈRES",4.719207,49.77039
"Bnp Paribas","Lucrative","6, RUE PIERRE CURIE , 08300 RETHEL",4.365235,49.509595
"Bnp Paribas","Lucrative","5, AVENUE DU MARECHAL LECLERC , 08200 SEDAN",4.945569,49.699258
"Bnp Paribas","Lucrative","53, COURS GABRIEL FAURE , 09000 FOIX",1.604872,42.963691
"Bnp Paribas","Lucrative","2, AVENUE DU 11 NOVEMBRE 1918 , 09300 LAVELANET",1.848983,42.932921
"Bnp Paribas","Lucrative","2, ROUTE DE FOIX , 09100 PAMIERS",1.619725,43.10491
"Bnp Paribas","Lucrative","7, RUE DU THEATRE , 10200 BAR-SUR-AUBE",4.70552,48.233012
"Bnp Paribas","Lucrative","20, RUE DE LA REPUBLIQUE , 10110 BAR-SUR-SEINE",4.374928,48.114433
"Bnp Paribas","Lucrative","26, RUE DE L HOTEL DIEU , 10400 NOGENT-SUR-SEINE",3.500122,48.493548
"Bnp Paribas","Lucrative","2, AVENUE JULES GUESDE , 10150 PONT-SAINTE-MARIE",4.098974,48.3144
"Bnp Paribas","Lucrative","56, RUE DE LA BOULE D OR , 10100 ROMILLY-SUR-SEINE",3.726034,48.517312
"Bnp Paribas","Lucrative","41, AVENUE DU GENERAL GALLIENI , 10300 SAINTE-SAVINE",4.05811,48.294103
"Bnp Paribas","Lucrative","53, RUE DU GENERAL DE GAULLE , 10000 TROYES",4.072355,48.298254
"Bnp Paribas","Lucrative","120, AVENUE PIERRE BROSSOLETTE , 10000 TROYES",4.076953,48.287954
"Bnp Paribas","Lucrative","58, RUE EMILE ZOLA , 10000 TROYES",4.074822,48.296521
"Bnp Paribas","Lucrative","1, RUE GEORGES CLEMENCEAU , 11000 CARCASSONNE",2.352183,43.213518
