"Banque","Type","Adresse","Longitude","Latitude"
"Banque Populaire","Coopérative","55-57, RUE ALEXANDRE BÉRARD01500 AMBERIEU EN BUGEY",5.356969,45.96187
"Banque Populaire","Coopérative","57, RUE DE LA RÉPUBLIQUE01200 VALSERHONE",5.824057,46.106706
"Banque Populaire","Coopérative","7, BD DU MAIL01300 BELLEY",5.688074,45.760875
"Banque Populaire","Coopérative","BD EDOUARD HERRIOT01000 BOURG EN BRESSE",5.220434,46.210136
"Banque Populaire","Coopérative","12, PL NEUVE01000 BOURG EN BRESSE",5.227292,46.205273
"Banque Populaire","Coopérative","168, PL DE LA RÉPUBLIQUE01400 CHATILLON SUR CHALARONNE",4.957873,46.119841
"Banque Populaire","Coopérative","865, GRANDE RUE01570 FEILLENS",4.889963,46.3361
"Banque Populaire","Coopérative","20, RUE PASTEUR01150 LAGNIEU",5.348758,45.90351
"Banque Populaire","Coopérative","37, RUE DE LYON01800 MEXIMIEUX",5.19013,45.90175
"Banque Populaire","Coopérative","189, GRANDE RUE01120 MONTLUEL",5.056085,45.851377
"Banque Populaire","Coopérative","13, AVE DE BRESSE01460 MONTREAL LA CLUSE",5.574646,46.171224
"Banque Populaire","Coopérative","8, PL DU 3 SEPTEMBRE01340 MONTREVEL EN BRESSE",5.128687,46.337708
"Banque Populaire","Coopérative","142, RUE ANATOLE FRANCE01100 OYONNAX",5.655023,46.256573
"Banque Populaire","Coopérative","81, RUE DES TERREAUX01170 GEX",6.058042,46.332805
"Banque Populaire","Coopérative","27, GRANDE RUE01220 DIVONNE LES BAINS",6.138759,46.355629
"Banque Populaire","Coopérative","CENTRE D'AUMARD01210 FERNEY VOLTAIRE",6.108245,46.25431
"Banque Populaire","Coopérative","PL DE LA FONTAINE01630 ST GENIS POUILLY",6.020704,46.243169
"Banque Populaire","Coopérative","33, RUE DE L'EUROPEBÂT A01960 PERONNAS",5.202316,46.179288
"Banque Populaire","Coopérative","51, RUE MASONOD01110 PLATEAU D'HAUTEVILLE",5.599233,45.978275
"Banque Populaire","Coopérative","25, RUE DU PALAIS01600 TREVOUX",4.77862,45.940309
"Banque Populaire","Coopérative","87, RUE DU COMMERCE01330 VILLARS LES DOMBES",5.028284,46.002281
