"Banque","Type","Adresse","Longitude","Latitude"
"Credit Agricole","coopérative","25 Chemin des 3 Cyprès  13090 Aix-en-Provence",5.405195,43.530061
"Credit Agricole","coopérative","3 Boulevard Carnot  13100 Aix-en-Provence",5.45425,43.525333
"Credit Agricole","coopérative","645 Route de Berre  13090 Aix-en-Provence",5.409067,43.53503
"Credit Agricole","coopérative","9 A Cours Marcel Bremond  13290 Aix-en-Provence",5.387137,43.504237
"Credit Agricole","coopérative","25 Rue Monclar  13100 Aix-en-Provence",5.449124,43.528984
"Credit Agricole","coopérative","37 avenue Fortuné Ferrini  13090 Aix-en-Provence",5.436692,43.507632
"Credit Agricole","coopérative","10 Cours Sextius  13100 Aix-en-Provence",5.443305,43.527801
"Credit Agricole","coopérative","25 Chemin des 3 Cyprès  13097 Aix-en-Provence",5.405195,43.530061
"Credit Agricole","coopérative","22 Avenue Henri Pontier  13100 Aix-en-Provence",5.439681,43.532985
"Credit Agricole","coopérative","423 Avenue du 7ème Régiment du Tirailleur Algériens  13190 Allauch",5.472712,43.337784
"Credit Agricole","coopérative","35 Avenue Ernest Perrin  84210 Althen-des-Paluds",4.957433,44.005218
"Credit Agricole","coopérative","170 Avenue Victor Hugo  84400 Apt",5.390707,43.87752
"Credit Agricole","coopérative","7 Rue Parmentier  13200 Arles",4.626848,43.674732
"Credit Agricole","coopérative","22 Rue de la Verrerie  13200 Arles",4.620222,43.680223
"Credit Agricole","coopérative","4 Rue de la Paix  13200 Arles",4.626677,43.67427
"Credit Agricole","coopérative","5 Avenue du 8 Mai  13400 Aubagne",5.5665,43.294111
"Credit Agricole","coopérative","100 Impasse des Martinets  13400 Aubagne",5.595257,43.29772
"Credit Agricole","coopérative","100 impasse des martinets  13400 Aubagne",5.595257,43.29772
"Credit Agricole","coopérative","Cours du 4 Septembre  13390 Auriol",5.633762,43.369217
"Credit Agricole","coopérative","168 Avenue Pierre Semard  84000 Avignon",4.842591,43.927653
"Credit Agricole","coopérative","50 Rue de la Bonneterie  84000 Avignon",4.809855,43.947161
"Credit Agricole","coopérative","43 Cours Jean Jaurès  84000 Avignon",4.805552,43.944166
"Credit Agricole","coopérative","L'Amandier - 168 avenue Pierre Sémard  84000 Avignon",4.842591,43.927653
"Credit Agricole","coopérative","36 Cours Cardinal Bertrand de Montfavet  84140 Avignon",4.872823,43.932409
"Credit Agricole","coopérative","107 Avenue Jules Ferry  84190 Beaumes-de-Venise",5.029887,44.121427
"Credit Agricole","coopérative","9 Cours Mirabeau  13130 Berre-l'Étang",5.167585,43.476312
