"","Zone d'emploi 2020","Banque Populaire","BNP Paribas","Crédit Agricole","Crédit Mutuel","Société Générale"
"1","0051",5,2,14,13,1
"2","0052",5,4,11,4,6
"3","0053",14,6,23,5,9
"4","0054",6,7,25,8,4
"5","0055",4,3,13,6,3
"6","0056",5,3,23,1,1
"7","0057",3,3,13,6,4
"8","0058",1,3,10,3,2
"9","0059",7,4,19,2,4
"10","0060",8,3,46,4,3
"11","0061",2,1,12,6,1
"12","0062",1,1,16,9,1
"13","0063",8,2,22,2,2
"14","0064",3,2,21,2,4
"15","1101",16,21,12,13,28
"16","1102",2,1,4,1,2
"17","1103",6,3,6,2,5
"18","1104",23,20,17,10,20
"19","1105",6,6,12,4,8
"20","1106",14,16,27,10,16
"21","1107",3,3,9,1,7
"22","1108",6,5,8,4,6
"23","1109",229,321,141,134,233
"24","1110",2,1,3,1,1
"25","1111",3,2,2,1,3
"26","1112",22,32,19,10,28
"27","1113",21,24,15,11,26
"28","1114",22,31,19,10,41
"29","1115",31,36,15,16,30
"30","2401",5,3,24,6,4
"31","2402",8,3,66,5,6
"32","2403",7,2,25,15,5
"33","2404",3,1,8,7,2
"34","2405",12,6,84,4,6
"35","2406",5,1,7,2,1
"36","2407",4,3,29,2,3
"37","2408",2,2,23,1,1
"38","2409",5,2,22,2,6
"39","2410",16,8,52,26,12
"40","2411",2,3,13,3,1
"41","2412",3,3,14,1,2
"42","2413",19,9,63,15,10
"43","2414",2,1,7,3,1
"44","2415",1,1,18,1,1
"45","2701",1,1,6,1,1
"46","2702",12,8,15,7,4
"47","2703",4,2,18,1,1
"48","2704",4,2,9,6,1
"49","2705",10,4,22,17,3
"50","2706",17,5,44,20,5
"51","2707",7,4,13,9,4
"52","2708",6,7,13,3,3
"53","2709",7,2,9,8,0
"54","2710",2,2,8,6,2
"55","2711",17,8,27,31,9
"56","2712",7,1,13,3,1
"57","2713",13,1,27,8,3
"58","2714",10,2,22,14,3
"59","2715",9,2,24,7,2
"60","2716",7,2,8,2,1
"61","2717",4,1,8,3,2
"62","2718",9,3,31,7,1
"63","2801",1,1,4,2,1
"64","2802",3,1,9,9,4
"65","2803",2,2,7,2,3
"66","2804",18,11,36,25,20
"67","2805",9,1,16,18,3
"68","2806",1,1,8,6,2
"69","2807",3,2,14,5,6
"70","2808",2,3,8,5,6
"71","2809",3,1,13,12,2
"72","2810",1,1,7,7,1
"73","2811",4,3,10,4,5
"74","2812",2,1,7,3,1
"75","2813",9,11,18,11,15
"76","2814",1,1,7,3,4
"77","2815",17,14,40,22,22
"78","2816",4,1,12,10,3
"79","2817",6,5,10,4,5
"80","2818",1,1,3,2,1
"81","2819",2,4,7,4,4
"82","3201",2,3,5,1,2
"83","3202",7,6,33,11,12
"84","3203",6,2,22,13,2
"85","3204",6,5,17,8,3
"86","3205",4,5,28,14,3
"87","3206",4,5,15,11,3
"88","3207",3,2,12,8,2
"89","3208",3,3,17,10,2
"90","3209",1,1,4,1,1
"91","3210",3,3,11,5,8
"92","3211",6,8,17,8,11
"93","3212",5,3,28,7,4
"94","3213",9,5,25,17,6
"95","3214",2,2,7,1,1
"96","3215",11,3,31,14,3
"97","3216",38,20,66,51,20
"98","3217",5,9,21,11,4
"99","3218",14,8,25,16,11
"100","3219",4,4,18,11,2
"101","3220",3,6,13,7,7
"102","3221",3,3,9,4,4
"103","3222",9,8,19,10,5
"104","4401",3,1,7,2,1
"105","4402",2,1,8,2,1
"106","4403",1,1,15,6,2
"107","4404",4,2,12,3,2
"108","4405",10,3,17,41,3
"109","4406",5,1,10,1,1
"110","4407",7,5,23,10,5
"111","4408",3,1,3,19,2
"112","4409",9,2,30,48,3
"113","4410",17,6,23,28,13
"114","4411",20,7,19,68,11
"115","4412",16,12,34,26,13
"116","4413",7,8,33,9,9
"117","4414",5,3,9,6,2
"118","4415",2,2,11,1,2
"119","4416",5,2,4,14,2
"120","4417",2,1,7,4,2
"121","4418",4,1,5,25,0
"122","4419",7,2,7,17,2
"123","4420",5,1,11,24,4
"124","4421",2,1,10,3,2
"125","4422",3,1,11,22,1
"126","4423",27,12,46,104,18
"127","4424",10,5,15,36,8
"128","4425",11,7,23,11,4
"129","4426",3,1,9,2,2
"130","4427",3,3,10,2,2
"131","5201",2,3,4,11,1
"132","5202",13,6,28,27,7
"133","5203",9,2,11,21,3
"134","5204",3,1,2,3,1
"135","5205",2,1,3,5,1
"136","5206",5,1,13,17,4
"137","5207",4,1,11,20,2
"138","5208",1,2,7,8,1
"139","5209",1,2,4,6,1
"140","5210",5,1,21,27,2
"141","5211",6,1,23,27,2
"142","5212",8,5,31,33,6
"143","5213",2,1,12,23,1
"144","5214",6,1,6,11,3
"145","5215",2,1,10,12,1
"146","5216",37,23,53,66,21
"147","5217",4,2,2,4,2
"148","5218",1,1,4,5,1
"149","5219",13,4,12,20,5
"150","5220",5,2,7,5,2
"151","5221",1,1,4,7,1
"152","5301",6,2,9,7,2
"153","5302",18,6,38,25,6
"154","5303",2,1,12,13,0
"155","5304",3,2,10,12,1
"156","5305",2,1,16,5,1
"157","5306",1,1,7,4,1
"158","5307",3,1,6,7,2
"159","5308",5,4,16,12,3
"160","5309",13,5,19,14,7
"161","5310",5,3,18,18,2
"162","5311",2,2,9,7,2
"163","5312",3,2,13,12,2
"164","5313",17,6,35,24,7
"165","5314",2,1,8,5,2
"166","5315",21,21,119,57,17
"167","5316",6,3,17,14,2
"168","5317",8,4,20,8,5
"169","5318",8,5,19,13,6
"170","5319",2,2,23,5,1
"171","7501",7,5,27,4,4
"172","7502",6,2,57,0,6
"173","7503",16,14,31,13,16
"174","7504",5,2,41,0,2
"175","7505",54,39,62,1,35
