"Banque","Type","Longitude","Latitude"
"banque_populaire","cooperative",5.356969,45.96187
"banque_populaire","cooperative",5.824057,46.106706
"banque_populaire","cooperative",5.688074,45.760875
"banque_populaire","cooperative",5.220434,46.210136
"banque_populaire","cooperative",5.227292,46.205273
"banque_populaire","cooperative",4.957873,46.119841
"banque_populaire","cooperative",4.889963,46.3361
"banque_populaire","cooperative",5.348758,45.90351
"banque_populaire","cooperative",5.19013,45.90175
"banque_populaire","cooperative",5.056085,45.851377
"banque_populaire","cooperative",5.574646,46.171224
"banque_populaire","cooperative",5.128687,46.337708
"banque_populaire","cooperative",5.655023,46.256573
"banque_populaire","cooperative",6.058042,46.332805
"banque_populaire","cooperative",6.138759,46.355629
"banque_populaire","cooperative",6.108245,46.255455
"banque_populaire","cooperative",6.020704,46.243169
"banque_populaire","cooperative",5.202316,46.179288
"banque_populaire","cooperative",5.599233,45.978275
"banque_populaire","cooperative",4.77862,45.940309
"banque_populaire","cooperative",5.028284,46.002281
"banque_populaire","cooperative",5.213611,46.214792
"banque_populaire","cooperative",3.403049,49.044587
"banque_populaire","cooperative",3.21925,49.614797
"banque_populaire","cooperative",3.624597,49.568362
"banque_populaire","cooperative",3.328747,49.377555
"banque_populaire","cooperative",3.285592,49.846273
"banque_populaire","cooperative",3.294372,49.842069
"banque_populaire","cooperative",3.09055,49.254236
"banque_populaire","cooperative",2.69359,46.711723
"banque_populaire","cooperative",2.741549,46.289837
"banque_populaire","cooperative",3.456956,46.131972
"banque_populaire","cooperative",3.415074,46.115618
"banque_populaire","cooperative",3.682217,46.521457
"banque_populaire","cooperative",3.197316,46.100466
"banque_populaire","cooperative",3.330474,46.56577
"banque_populaire","cooperative",3.353391,46.566814
"banque_populaire","cooperative",2.603423,46.338334
"banque_populaire","cooperative",2.581929,46.339618
"banque_populaire","cooperative",2.531947,46.36064
"banque_populaire","cooperative",2.599892,46.345493
"banque_populaire","cooperative",2.953086,46.318083
"banque_populaire","cooperative",3.289657,46.309144
"banque_populaire","cooperative",3.421886,46.124923
"banque_populaire","cooperative",3.423199,46.13353
"banque_populaire","cooperative",6.650498,44.386814
"banque_populaire","cooperative",6.234479,44.092396
"banque_populaire","cooperative",6.193278,44.078833
"banque_populaire","cooperative",5.782408,43.831753
"banque_populaire","cooperative",5.797068,43.819316
"banque_populaire","cooperative",5.943348,44.195395
"banque_populaire","cooperative",6.083093,44.562001
"banque_populaire","cooperative",6.049164,44.45687
"banque_populaire","cooperative",6.633136,44.895947
"banque_populaire","cooperative",6.556282,44.945419
"banque_populaire","cooperative",6.496538,44.564936
"banque_populaire","cooperative",6.09192,44.565235
"banque_populaire","cooperative",6.077479,44.559727
"banque_populaire","cooperative",6.069398,44.549765
"banque_populaire","cooperative",6.09192,44.565235
"banque_populaire","cooperative",6.64839,44.659829
"banque_populaire","cooperative",7.120685,43.580819
"banque_populaire","cooperative",7.122215,43.600149
"banque_populaire","cooperative",7.084834,43.601166
"banque_populaire","cooperative",7.329724,43.706501
"banque_populaire","cooperative",7.425287,43.741502
"banque_populaire","cooperative",7.152201,43.662484
"banque_populaire","cooperative",7.134589,43.66085
