"Banque","Type","Longitude","Latitude","Adresse"
"banque_populaire","cooperative",5.356969,45.96187,"55-57, rue Alexandre Bérard01500 AMBERIEU EN BUGEY"
"banque_populaire","cooperative",5.824057,46.106706,"57, rue de la République01200 VALSERHONE"
"banque_populaire","cooperative",5.688074,45.760875,"7, bd du Mail01300 BELLEY"
"banque_populaire","cooperative",5.220434,46.210136,"Bd Edouard Herriot01000 BOURG EN BRESSE"
"banque_populaire","cooperative",5.227292,46.205273,"12, pl Neuve01000 BOURG EN BRESSE"
"banque_populaire","cooperative",4.957873,46.119841,"168, pl de la République01400 CHATILLON SUR CHALARONNE"
"banque_populaire","cooperative",4.889963,46.3361,"865, Grande Rue01570 FEILLENS"
"banque_populaire","cooperative",5.348758,45.90351,"20, rue Pasteur01150 LAGNIEU"
"banque_populaire","cooperative",5.19013,45.90175,"37, rue de Lyon01800 MEXIMIEUX"
"banque_populaire","cooperative",5.056085,45.851377,"189, Grande Rue01120 MONTLUEL"
"banque_populaire","cooperative",5.574646,46.171224,"13, ave de Bresse01460 MONTREAL LA CLUSE"
"banque_populaire","cooperative",5.128687,46.337708,"8, pl du 3 Septembre01340 MONTREVEL EN BRESSE"
"banque_populaire","cooperative",5.655023,46.256573,"142, rue Anatole France01100 OYONNAX"
"banque_populaire","cooperative",6.058042,46.332805,"81, rue des Terreaux01170 GEX"
"banque_populaire","cooperative",6.138759,46.355629,"27, Grande Rue01220 DIVONNE LES BAINS"
"banque_populaire","cooperative",6.108245,46.255455,"Centre d'Aumard01210 FERNEY VOLTAIRE"
"banque_populaire","cooperative",6.020704,46.243169,"Pl de la Fontaine01630 ST GENIS POUILLY"
"banque_populaire","cooperative",5.202316,46.179288,"33, rue de l'EuropeBât A01960 PERONNAS"
"banque_populaire","cooperative",5.599233,45.978275,"51, rue Masonod01110 PLATEAU D'HAUTEVILLE"
"banque_populaire","cooperative",4.77862,45.940309,"25, rue du Palais01600 TREVOUX"
"banque_populaire","cooperative",5.028284,46.002281,"87, rue du Commerce01330 VILLARS LES DOMBES"
"banque_populaire","cooperative",5.213611,46.214792,"45, rue du Plateau01440 VIRIAT"
"banque_populaire","cooperative",3.403049,49.044587,"Pl Jean de La Fontaine02400 CHATEAU THIERRY"
"banque_populaire","cooperative",3.21925,49.614797,"7, rue de la République02300 CHAUNY"
"banque_populaire","cooperative",3.624597,49.568362,"3, rue Roger Salengro02000 LAON"
"banque_populaire","cooperative",3.328747,49.377555,"13, rue Saint Martin02200 SOISSONS"
"banque_populaire","cooperative",3.285592,49.846273,"33, rue Emile Zola02100 ST QUENTIN"
"banque_populaire","cooperative",3.294372,49.842069,"19, pl du 8 Octobre02100 ST QUENTIN"
"banque_populaire","cooperative",3.09055,49.254236,"3, pl du Dr Mouflier02600 VILLERS COTTERETS"
"banque_populaire","cooperative",2.69359,46.711723,"37, pl du Faubourg03360 AINAY LE CHATEAU"
"banque_populaire","cooperative",2.741549,46.289837,"12, rue Jean Jaurès03600 COMMENTRY"
"banque_populaire","cooperative",3.456956,46.131972,"1, pl Victor Hugo03300 CUSSET"
"banque_populaire","cooperative",3.415074,46.115618,"3, ave Général de GaulleCtre Cial Carré d'As03700 BELLERIVE SUR ALLIER"
"banque_populaire","cooperative",3.682217,46.521457,"21, pl de la République03290 DOMPIERRE SUR BESBRE"
"banque_populaire","cooperative",3.197316,46.100466,"54, Grande Rue03800 GANNAT"
"banque_populaire","cooperative",3.330474,46.56577,"2, pl Anne de France03000 MOULINS"
"banque_populaire","cooperative",3.353391,46.566814,"2, bd Jean Jaurès03400 YZEURE"
"banque_populaire","cooperative",2.603423,46.338334,"50, bd de Courtais03100 MONTLUCON"
"banque_populaire","cooperative",2.581929,46.339618,"91, ave Jules Guesde03100 MONTLUCON"
"banque_populaire","cooperative",2.531947,46.36064,"Bd Victor Hugo03410 DOMERAT"
"banque_populaire","cooperative",2.599892,46.345493,"8, quai Louis BlancCentre Commercial St Jacques03100 MONTLUCON"
"banque_populaire","cooperative",2.953086,46.318083,"26, pl Robert Ferrandon03390 MONTMARAULT"
"banque_populaire","cooperative",3.289657,46.309144,"61, bd Ledru Rollin03500 ST POURCAIN SUR SIOULE"
"banque_populaire","cooperative",3.421886,46.124923,"9, rue Burnol03203 VICHY"
"banque_populaire","cooperative",3.423199,46.13353,"115, rue Jean Jaurès03200 VICHY"
"banque_populaire","cooperative",6.650498,44.386814,"55, rue Manuel04400 BARCELONNETTE"
"banque_populaire","cooperative",6.234479,44.092396,"40, bd Gassendi04000 DIGNE LES BAINS"
