"Banque","Type","Longitude","Latitude"
"credit_agricole","cooperative",5.405195,43.530061
"credit_agricole","cooperative",5.45425,43.525333
"credit_agricole","cooperative",5.409067,43.53503
"credit_agricole","cooperative",5.387137,43.504237
"credit_agricole","cooperative",5.449124,43.528984
"credit_agricole","cooperative",5.436692,43.507632
"credit_agricole","cooperative",5.443305,43.527801
"credit_agricole","cooperative",5.405195,43.530061
"credit_agricole","cooperative",5.439681,43.532985
"credit_agricole","cooperative",5.472712,43.337784
"credit_agricole","cooperative",4.957433,44.005218
"credit_agricole","cooperative",5.390707,43.87752
"credit_agricole","cooperative",4.626848,43.674732
"credit_agricole","cooperative",4.620222,43.680223
"credit_agricole","cooperative",4.626677,43.67427
"credit_agricole","cooperative",5.5665,43.294111
"credit_agricole","cooperative",5.595257,43.29772
"credit_agricole","cooperative",5.595257,43.29772
"credit_agricole","cooperative",5.633762,43.369217
"credit_agricole","cooperative",4.842591,43.927653
"credit_agricole","cooperative",4.809855,43.947161
"credit_agricole","cooperative",4.805552,43.944166
"credit_agricole","cooperative",4.842591,43.927653
"credit_agricole","cooperative",4.872823,43.932409
"credit_agricole","cooperative",5.029887,44.121427
"credit_agricole","cooperative",5.167585,43.476312
"credit_agricole","cooperative",4.899404,44.041042
"credit_agricole","cooperative",5.18119,44.123992
"credit_agricole","cooperative",4.751747,44.280669
"credit_agricole","cooperative",5.412543,43.451158
"credit_agricole","cooperative",6.633191,44.894559
"credit_agricole","cooperative",6.643523,44.899414
"credit_agricole","cooperative",5.348525,43.463564
"credit_agricole","cooperative",5.375318,43.733631
"credit_agricole","cooperative",4.864756,44.163978
"credit_agricole","cooperative",5.04929,44.053076
"credit_agricole","cooperative",5.041512,44.052432
"credit_agricole","cooperative",5.147056,43.32857
"credit_agricole","cooperative",5.540161,43.213649
"credit_agricole","cooperative",4.944554,43.892815
"credit_agricole","cooperative",5.041347,43.834544
"credit_agricole","cooperative",5.005942,43.881447
"credit_agricole","cooperative",5.040346,43.846601
"credit_agricole","cooperative",6.768612,44.722808
"credit_agricole","cooperative",4.8324,44.056519
"credit_agricole","cooperative",5.163167,43.383635
"credit_agricole","cooperative",4.856057,43.883949
"credit_agricole","cooperative",6.276596,44.545142
"credit_agricole","cooperative",4.885348,44.085878
"credit_agricole","cooperative",6.495028,44.565023
"credit_agricole","cooperative",4.92733,44.003052
"credit_agricole","cooperative",5.030606,43.693761
"credit_agricole","cooperative",4.848889,43.840303
"credit_agricole","cooperative",5.359504,43.571422
"credit_agricole","cooperative",4.709832,43.726226
"credit_agricole","cooperative",4.944069,43.437506
"credit_agricole","cooperative",5.562499,43.454198
"credit_agricole","cooperative",6.09935,44.568155
"credit_agricole","cooperative",6.082494,44.561169
"credit_agricole","cooperative",6.065586,44.547682
"credit_agricole","cooperative",1.436373,43.608465
"credit_agricole","cooperative",4.772457,43.851657
"credit_agricole","cooperative",6.649286,44.66011
"credit_agricole","cooperative",4.963576,43.523527
"credit_agricole","cooperative",4.98499,43.511313
"credit_agricole","cooperative",4.900737,44.115021
"credit_agricole","cooperative",6.559227,44.795334
"credit_agricole","cooperative",5.052169,43.917875
"credit_agricole","cooperative",5.604398,43.187736
"credit_agricole","cooperative",5.597248,43.390257
"credit_agricole","cooperative",5.193858,43.550607
"credit_agricole","cooperative",5.307264,43.715428
"credit_agricole","cooperative",5.547875,43.72605
"credit_agricole","cooperative",5.262833,43.654905
"credit_agricole","cooperative",5.823113,44.315064
"credit_agricole","cooperative",6.516387,44.974723
"credit_agricole","cooperative",4.861173,43.962059
"credit_agricole","cooperative",5.487166,43.511731
"credit_agricole","cooperative",4.995902,43.928887
"credit_agricole","cooperative",6.557828,44.493689
"credit_agricole","cooperative",5.348204,43.380336
"credit_agricole","cooperative",5.317111,43.410942
"credit_agricole","cooperative",5.133669,44.17354
"credit_agricole","cooperative",5.178092,43.729817
"credit_agricole","cooperative",5.216202,43.416047
"credit_agricole","cooperative",5.056313,43.401895
"credit_agricole","cooperative",5.144355,43.868245
"credit_agricole","cooperative",4.805931,43.720616
"credit_agricole","cooperative",5.129568,44.057094
"credit_agricole","cooperative",5.000398,43.583516
"credit_agricole","cooperative",4.996146,44.033337
"credit_agricole","cooperative",4.906163,43.941506
"credit_agricole","cooperative",4.87046,43.689273
"credit_agricole","cooperative",4.902181,43.875778
"credit_agricole","cooperative",4.834655,44.1223
"credit_agricole","cooperative",4.80558,44.136064
"credit_agricole","cooperative",6.329245,44.699229
"credit_agricole","cooperative",5.040407,43.791406
"credit_agricole","cooperative",5.056726,43.99656
"credit_agricole","cooperative",5.499893,43.680701
"credit_agricole","cooperative",5.152041,43.630689
"credit_agricole","cooperative",4.762472,44.176879
"credit_agricole","cooperative",5.22792,43.4879
"credit_agricole","cooperative",5.347501,43.663991
"credit_agricole","cooperative",4.803668,43.90096
"credit_agricole","cooperative",5.596425,43.338209
"credit_agricole","cooperative",5.625022,43.480312
"credit_agricole","cooperative",5.007155,44.191188
"credit_agricole","cooperative",5.099104,43.623285
"credit_agricole","cooperative",5.095322,43.639806
"credit_agricole","cooperative",4.97094,44.082101
"credit_agricole","cooperative",5.410506,44.092616
"credit_agricole","cooperative",6.405101,44.525782
"credit_agricole","cooperative",5.081861,43.752591
"credit_agricole","cooperative",5.716052,44.428608
"credit_agricole","cooperative",4.87156,44.007286
"credit_agricole","cooperative",6.055074,44.461737
"credit_agricole","cooperative",4.657655,43.802989
"credit_agricole","cooperative",5.683988,43.447794
"credit_agricole","cooperative",5.073817,44.24095
"credit_agricole","cooperative",4.988996,44.385977
"credit_agricole","cooperative",4.905584,43.980312
"credit_agricole","cooperative",5.25552,43.534388
"credit_agricole","cooperative",5.474499,43.586031
"credit_agricole","cooperative",5.823442,44.533677
"credit_agricole","cooperative",5.248124,43.446446
"credit_agricole","cooperative",7.2353,47.621332
"credit_agricole","cooperative",7.284626,48.124089
"credit_agricole","cooperative",6.530564,48.118228
