"Banque","Type","Adresse"
"credit_mutuel","cooperative","32 AVENUE DU GENERAL DE GAULLE ,  01500 ,  AMBERIEU EN BUGEY"
"credit_mutuel","cooperative","11 PLACE VAUGELAS ,  01800 ,  MEXIMIEUX"
"credit_mutuel","cooperative","1103 RUE DE GENEVE ,  01120 ,  DAGNEUX"
"credit_mutuel","cooperative","434 AVENUE CHARLES DE GAULLE ,  01330 ,  VILLARS LES DOMBES"
"credit_mutuel","cooperative","8 RUE GRAMMONT ,  38230 ,  PONT DE CHERUY"
"credit_mutuel","cooperative","1 AVENUE ALPHONSE BAUDIN ,  01000 ,  BOURG EN BRESSE"
"credit_mutuel","cooperative","1 RUE CHARLES ROBIN ,  01000 ,  BOURG EN BRESSE"
"credit_mutuel","cooperative","4 COURS DE VERDUN ,  01000 ,  BOURG EN BRESSE"
"credit_mutuel","cooperative","22 BOULEVARD DU MAIL ,  01300 ,  BELLEY"
"credit_mutuel","cooperative","66 B RUE DE LA REPUBLIQUE ,  69330 ,  MEYZIEU"
"credit_mutuel","cooperative","918 GRANDE RUE ,  01700 ,  MIRIBEL"
"credit_mutuel","cooperative","112 AVENUE JEAN JAURES ,  69150 ,  DECINES CHARPIEU"
"credit_mutuel","cooperative","3006 ROUTE DE STRASBOURG ,  69140 ,  RILLIEUX LA PAPE"
"credit_mutuel","cooperative","5 AVENUE DU PROGRES ,  69680 ,  CHASSIEU"
"credit_mutuel","cooperative","1 MONTEE DU CHATEAU ,  69720 ,  ST BONNET DE MURE"
"credit_mutuel","cooperative","20 RUE EMILE ZOLA ,  69120 ,  VAULX EN VELIN"
"credit_mutuel","cooperative","395 AVENUE LESDIGUIERES ,  38290 ,  LA VERPILLIERE"
"credit_mutuel","cooperative","40 RUE DES SAYES ,  38080 ,  L ISLE D ABEAU"
"credit_mutuel","cooperative","1 RUE DE LA REPUBLIQUE ,  01200 ,  VALSERHONE"
"credit_mutuel","cooperative","5 RUE BICHAT ,  01100 ,  OYONNAX"
"credit_mutuel","cooperative","3 RUE DU CRET DU BIEF ,  39170 ,  LAVANS LES ST CLAUDE"
"credit_mutuel","cooperative","70 RUE DU PRE ,  39201 ,  ST CLAUDE"
"credit_mutuel","cooperative","23 RUE DE GENEVE ,  01630 ,  ST GENIS POUILLY"
"credit_mutuel","cooperative","RUE DES TERREAUX ,  01170 ,  GEX"
"credit_mutuel","cooperative","17 GRAND RUE ,  01210 ,  FERNEY VOLTAIRE"
"credit_mutuel","cooperative","2 RUE MONSEIGNEUR PAGET ,  74160 ,  ST JULIEN EN GENEVOIS"
"credit_mutuel","cooperative","970 ROUTE BLANCHE ,  39220 ,  LES ROUSSES"
"credit_mutuel","cooperative","203 AVENUE DE GENEVE ,  01220 ,  DIVONNE LES BAINS"
"credit_mutuel","cooperative","17 PLACE CENTRALE ,  74270 ,  FRANGY"
"credit_mutuel","cooperative","102 RUE DE GENEVE ,  74240 ,  GAILLARD"
"credit_mutuel","cooperative","11 BOULEVARD GAMBETTA ,  39000 ,  LONS LE SAUNIER"
"credit_mutuel","cooperative","75 COURS SULLY ,  39000 ,  LONS LE SAUNIER"
"credit_mutuel","cooperative","260 GRAND RUE ,  74350 ,  CRUSEILLES"
"credit_mutuel","cooperative","2 RUE DES VOIRONS ,  74100 ,  ANNEMASSE"
"credit_mutuel","cooperative","8 RUE CHARLES DUPRAZ ,  74100 ,  ANNEMASSE"
"credit_mutuel","cooperative","45 AVENUE DU GRAND PORT ,  73100 ,  AIX LES BAINS"
"credit_mutuel","cooperative","1 PLACE DU REVARD ,  73100 ,  AIX LES BAINS"
"credit_mutuel","cooperative","45 RUE HENRI SECRET ,  74540 ,  ST FELIX"
"credit_mutuel","cooperative","38 AVENUE GANTIN ,  74150 ,  RUMILLY"
"credit_mutuel","cooperative","241 AVENUE COSTA DE BEAUREGARD ,  73290 ,  LA MOTTE SERVOLEX"
"credit_mutuel","cooperative","AVENUE JEAN JAURES ,  73330 ,  LE PONT DE BEAUVOISIN"
"credit_mutuel","cooperative","124 ALLEE ALBERT SYLVESTRE ,  73000 ,  CHAMBERY"
