"Banque","Type","Longitude","Latitude"
"Société générale","Lucrative",5.352692,45.960745
"Société générale","Lucrative",5.688976,45.760242
"Société générale","Lucrative",5.228049,46.206916
"Société générale","Lucrative",6.13997,46.353359
"Société générale","Lucrative",6.108773,46.256174
"Société générale","Lucrative",6.059007,46.332269
"Société générale","Lucrative",4.75626,45.985459
"Société générale","Lucrative",5.348672,45.90266
"Société générale","Lucrative",5.191584,45.902873
"Société générale","Lucrative",5.657156,46.257332
"Société générale","Lucrative",6.02089,46.243471
"Société générale","Lucrative",5.827102,46.107772
"Société générale","Lucrative",3.455209,49.986678
"Société générale","Lucrative",5.352386,43.465592
"Société générale","Lucrative",3.402076,49.044533
"Société générale","Lucrative",3.222444,49.612105
"Société générale","Lucrative",3.626907,49.900723
"Société générale","Lucrative",3.366891,49.661257
"Société générale","Lucrative",3.624766,49.56966
"Société générale","Lucrative",3.292839,49.845879
"Société générale","Lucrative",3.328184,49.379103
"Société générale","Lucrative",3.328184,49.379103
"Société générale","Lucrative",3.292839,49.845879
"Société générale","Lucrative",3.904894,49.833227
"Société générale","Lucrative",3.090717,49.253574
"Société générale","Lucrative",3.454918,46.134376
"Société générale","Lucrative",3.19733,46.100613
"Société générale","Lucrative",2.601499,46.340985
"Société générale","Lucrative",4.931856,44.001379
"Société générale","Lucrative",3.291107,46.309169
"Société générale","Lucrative",3.428477,46.129624
"Société générale","Lucrative",3.421021,46.124991
"Société générale","Lucrative",6.189919,44.07656
"Société générale","Lucrative",5.889802,43.930792
"Société générale","Lucrative",5.794106,43.820024
"Société générale","Lucrative",5.94272,44.19549
"Société générale","Lucrative",6.080863,44.559881
"Société générale","Lucrative",7.102988,43.592403
"Société générale","Lucrative",7.120903,43.580284
"Société générale","Lucrative",7.331168,43.706375
"Société générale","Lucrative",7.160971,43.658304
"Société générale","Lucrative",7.01712,43.552275
"Société générale","Lucrative",7.01712,43.552275
"Société générale","Lucrative",2.919409,48.255941
"Société générale","Lucrative",7.027996,43.548964
"Société générale","Lucrative",7.19044,43.773015
"Société générale","Lucrative",7.016216,43.574501
"Société générale","Lucrative",7.190752,43.675181
"Société générale","Lucrative",6.940313,43.644799
"Société générale","Lucrative",6.940313,43.644799
"Société générale","Lucrative",0.198297,48.022486
"Société générale","Lucrative",7.099924,43.686921
"Société générale","Lucrative",7.016375,43.574102
"Société générale","Lucrative",7.000404,43.572479
"Société générale","Lucrative",6.940229,43.545554
"Société générale","Lucrative",7.497889,43.773888
"Société générale","Lucrative",7.511776,43.78251
"Société générale","Lucrative",6.966573,43.614089
"Société générale","Lucrative",6.986308,43.597841
"Société générale","Lucrative",7.216494,43.667161
"Société générale","Lucrative",7.216494,43.667161
"Société générale","Lucrative",7.271738,43.714848
"Société générale","Lucrative",7.216494,43.667161
"Société générale","Lucrative",7.269161,43.69903
"Société générale","Lucrative",7.256732,43.720176
"Société générale","Lucrative",7.251632,43.695784
"Société générale","Lucrative",7.269161,43.69903
"Société générale","Lucrative",7.28516,43.698694
"Société générale","Lucrative",7.253473,43.695474
"Société générale","Lucrative",7.26245,43.71009
"Société générale","Lucrative",7.242441,43.690498
"Société générale","Lucrative",7.259533,43.699648
"Société générale","Lucrative",7.281348,43.702809
"Société générale","Lucrative",7.292907,43.709151
"Société générale","Lucrative",7.249973,43.725545
"Société générale","Lucrative",7.220653,43.678022
"Société générale","Lucrative",6.87716,43.641783
"Société générale","Lucrative",7.190752,43.675181
"Société générale","Lucrative",7.192208,43.821715
"Société générale","Lucrative",7.28783,43.741495
"Société générale","Lucrative",7.189001,43.675096
"Société générale","Lucrative",7.039893,43.621817
"Société générale","Lucrative",-0.3492,49.214235
"Société générale","Lucrative",7.00737,43.640653
"Société générale","Lucrative",7.073912,43.567404
"Société générale","Lucrative",7.110279,43.722852
"Société générale","Lucrative",7.141285,43.641727
"Société générale","Lucrative",4.672507,45.240411
"Société générale","Lucrative",4.388475,44.619322
"Société générale","Lucrative",4.880354,44.933214
"Société générale","Lucrative",4.342231,44.45253
"Société générale","Lucrative",4.833898,45.067614
"Société générale","Lucrative",4.722369,49.769889
"Société générale","Lucrative",4.826574,50.136129
"Société générale","Lucrative",4.365832,49.509092
"Société générale","Lucrative",4.944531,49.700885
"Société générale","Lucrative",4.701743,49.397697
"Société générale","Lucrative",1.839619,42.720666
"Société générale","Lucrative",1.329723,47.582847
"Société générale","Lucrative",1.329723,47.582847
"Société générale","Lucrative",1.849492,42.933869
"Société générale","Lucrative",1.620217,43.104396
"Société générale","Lucrative",1.144685,42.983859
"Société générale","Lucrative",1.604673,42.845291
"Société générale","Lucrative",4.048949,48.312683
"Société générale","Lucrative",3.725963,48.516128
