"Banque","Type","Longitude","Latitude"
"bnp_paribas","lucrative",5.356076,45.963993
"bnp_paribas","lucrative",5.688138,45.757649
"bnp_paribas","lucrative",5.223954,46.204321
"bnp_paribas","lucrative",6.1425,46.351661
"bnp_paribas","lucrative",6.11269,46.259775
"bnp_paribas","lucrative",5.190653,45.902344
"bnp_paribas","lucrative",4.953903,45.824341
"bnp_paribas","lucrative",5.575885,46.170888
"bnp_paribas","lucrative",5.656217,46.257738
"bnp_paribas","lucrative",6.024667,46.242075
"bnp_paribas","lucrative",3.455195,49.985209
"bnp_paribas","lucrative",3.398819,49.04657
"bnp_paribas","lucrative",3.220844,49.61235
"bnp_paribas","lucrative",3.629606,49.900203
"bnp_paribas","lucrative",4.081462,49.924043
"bnp_paribas","lucrative",3.624172,49.568487
"bnp_paribas","lucrative",3.785421,50.016502
"bnp_paribas","lucrative",3.771126,49.739426
"bnp_paribas","lucrative",3.287153,49.848844
"bnp_paribas","lucrative",3.329224,49.37664
"bnp_paribas","lucrative",3.903938,49.833922
"bnp_paribas","lucrative",3.0914,49.253326
"bnp_paribas","lucrative",3.05866,46.58659
"bnp_paribas","lucrative",2.740721,46.291292
"bnp_paribas","lucrative",3.197731,46.101395
"bnp_paribas","lucrative",2.599998,46.348089
"bnp_paribas","lucrative",3.329922,46.564354
"bnp_paribas","lucrative",3.29097,46.308254
"bnp_paribas","lucrative",3.422593,46.125448
"bnp_paribas","lucrative",6.652767,44.387258
"bnp_paribas","lucrative",6.231964,44.091379
"bnp_paribas","lucrative",5.784168,43.830717
"bnp_paribas","lucrative",5.811356,43.844076
"bnp_paribas","lucrative",5.941946,44.196113
"bnp_paribas","lucrative",6.635211,44.896422
"bnp_paribas","lucrative",6.496948,44.565243
"bnp_paribas","lucrative",6.080624,44.558955
"bnp_paribas","lucrative",5.823454,44.314253
"bnp_paribas","lucrative",5.824382,44.534444
"bnp_paribas","lucrative",7.120591,43.581414
"bnp_paribas","lucrative",7.093696,43.594487
"bnp_paribas","lucrative",7.331034,43.707873
"bnp_paribas","lucrative",7.103062,43.624669
"bnp_paribas","lucrative",7.150569,43.663925
"bnp_paribas","lucrative",7.16517,43.658276
"bnp_paribas","lucrative",7.018319,43.552523
"bnp_paribas","lucrative",7.034827,43.549313
"bnp_paribas","lucrative",6.977743,43.550307
"bnp_paribas","lucrative",7.396487,43.723078
"bnp_paribas","lucrative",7.175498,43.766161
"bnp_paribas","lucrative",6.974455,43.677851
"bnp_paribas","lucrative",6.960109,43.6274
"bnp_paribas","lucrative",7.110839,43.569177
"bnp_paribas","lucrative",7.10382,43.686175
"bnp_paribas","lucrative",7.400379,43.745694
"bnp_paribas","lucrative",7.015773,43.567635
"bnp_paribas","lucrative",6.999883,43.573076
"bnp_paribas","lucrative",6.93719,43.543796
"bnp_paribas","lucrative",7.50209,43.774641
"bnp_paribas","lucrative",6.971364,43.619516
"bnp_paribas","lucrative",6.986713,43.602641
"bnp_paribas","lucrative",7.229908,43.686947
"bnp_paribas","lucrative",7.261473,43.714528
"bnp_paribas","lucrative",7.230306,43.680658
"bnp_paribas","lucrative",7.249593,43.693164
"bnp_paribas","lucrative",7.274829,43.7251
"bnp_paribas","lucrative",7.226503,43.686815
"bnp_paribas","lucrative",7.272346,43.699375
"bnp_paribas","lucrative",7.256319,43.69905
"bnp_paribas","lucrative",7.256142,43.707455
"bnp_paribas","lucrative",7.262601,43.708232
"bnp_paribas","lucrative",7.286167,43.69863
"bnp_paribas","lucrative",7.260302,43.695848
"bnp_paribas","lucrative",7.292962,43.71231
"bnp_paribas","lucrative",7.267487,43.700501
"bnp_paribas","lucrative",6.928871,43.593531
"bnp_paribas","lucrative",6.877251,43.640343
"bnp_paribas","lucrative",7.487228,43.765575
"bnp_paribas","lucrative",7.192524,43.667089
"bnp_paribas","lucrative",7.188239,43.667448
"bnp_paribas","lucrative",7.121361,43.699178
"bnp_paribas","lucrative",7.037913,43.621935
"bnp_paribas","lucrative",7.007934,43.642732
"bnp_paribas","lucrative",7.074102,43.567207
"bnp_paribas","lucrative",7.111475,43.722692
"bnp_paribas","lucrative",7.142219,43.641295
"bnp_paribas","lucrative",4.67279,45.240335
"bnp_paribas","lucrative",4.391049,44.619625
"bnp_paribas","lucrative",4.87706,44.934956
"bnp_paribas","lucrative",4.781362,44.800273
"bnp_paribas","lucrative",4.597965,44.734751
"bnp_paribas","lucrative",4.834404,45.066
"bnp_paribas","lucrative",4.719207,49.77039
"bnp_paribas","lucrative",4.365235,49.509595
"bnp_paribas","lucrative",4.945569,49.699258
"bnp_paribas","lucrative",1.604872,42.963691
"bnp_paribas","lucrative",1.848983,42.932921
"bnp_paribas","lucrative",1.619725,43.10491
"bnp_paribas","lucrative",4.70552,48.233012
"bnp_paribas","lucrative",4.374928,48.114433
"bnp_paribas","lucrative",3.500122,48.493548
"bnp_paribas","lucrative",4.098974,48.3144
"bnp_paribas","lucrative",3.726034,48.517312
"bnp_paribas","lucrative",4.05811,48.294103
"bnp_paribas","lucrative",4.072355,48.298254
"bnp_paribas","lucrative",4.076953,48.287954
"bnp_paribas","lucrative",4.074822,48.296521
"bnp_paribas","lucrative",2.352183,43.213518
"bnp_paribas","lucrative",2.305717,43.187114
"bnp_paribas","lucrative",1.952381,43.317936
"bnp_paribas","lucrative",2.759979,43.200981
"bnp_paribas","lucrative",2.216495,43.053677
"bnp_paribas","lucrative",3.001523,43.184654
"bnp_paribas","lucrative",3.042664,43.022722
"bnp_paribas","lucrative",2.184207,42.876842
"bnp_paribas","lucrative",2.255325,44.557687
"bnp_paribas","lucrative",2.761951,44.521039
"bnp_paribas","lucrative",3.077246,44.101098
"bnp_paribas","lucrative",2.560036,44.357156
"bnp_paribas","lucrative",2.571524,44.35097
"bnp_paribas","lucrative",2.885439,43.958526
"bnp_paribas","lucrative",2.037317,44.350796
"bnp_paribas","lucrative",5.444223,43.513287
"bnp_paribas","lucrative",5.409067,43.53503
"bnp_paribas","lucrative",5.408696,43.507465
"bnp_paribas","lucrative",5.446797,43.526279
"bnp_paribas","lucrative",5.450605,43.52922
"bnp_paribas","lucrative",5.474411,43.340799
"bnp_paribas","lucrative",4.627327,43.676241
"bnp_paribas","lucrative",4.731528,43.555953
"bnp_paribas","lucrative",5.567014,43.294628
"bnp_paribas","lucrative",5.58096,43.285968
"bnp_paribas","lucrative",5.634058,43.369794
"bnp_paribas","lucrative",5.410962,43.451629
"bnp_paribas","lucrative",5.151114,43.333457
"bnp_paribas","lucrative",5.539474,43.214672
"bnp_paribas","lucrative",4.853456,43.882869
"bnp_paribas","lucrative",4.944209,43.436497
"bnp_paribas","lucrative",5.469275,43.453698
"bnp_paribas","lucrative",4.988064,43.511724
"bnp_paribas","lucrative",5.606455,43.174364
"bnp_paribas","lucrative",5.612177,43.195298
"bnp_paribas","lucrative",5.600249,43.387292
"bnp_paribas","lucrative",5.263822,43.6516
"bnp_paribas","lucrative",5.400167,43.507322
"bnp_paribas","lucrative",5.260163,43.404666
"bnp_paribas","lucrative",5.379717,43.297268
"bnp_paribas","lucrative",5.378748,43.292874
"bnp_paribas","lucrative",5.36718,43.30575
"bnp_paribas","lucrative",5.368942,43.3024
"bnp_paribas","lucrative",5.387231,43.31213
"bnp_paribas","lucrative",5.401251,43.298749
"bnp_paribas","lucrative",5.391726,43.295411
"bnp_paribas","lucrative",5.383829,43.286381
"bnp_paribas","lucrative",5.367406,43.290132
"bnp_paribas","lucrative",5.393055,43.247423
"bnp_paribas","lucrative",5.38171,43.266046
"bnp_paribas","lucrative",5.384946,43.274416
"bnp_paribas","lucrative",5.390369,43.273474
"bnp_paribas","lucrative",5.394077,43.260429
"bnp_paribas","lucrative",5.422467,43.249547
"bnp_paribas","lucrative",5.408434,43.265982
"bnp_paribas","lucrative",5.415104,43.277588
"bnp_paribas","lucrative",5.498745,43.298388
"bnp_paribas","lucrative",5.435009,43.308195
"bnp_paribas","lucrative",5.417238,43.303783
"bnp_paribas","lucrative",5.454602,43.334441
"bnp_paribas","lucrative",5.35932,43.346243
"bnp_paribas","lucrative",5.056888,43.40236
"bnp_paribas","lucrative",5.463847,43.349769
"bnp_paribas","lucrative",4.802353,43.389187
"bnp_paribas","lucrative",5.229681,43.488299
"bnp_paribas","lucrative",5.607493,43.466109
"bnp_paribas","lucrative",5.749223,43.71728
"bnp_paribas","lucrative",4.829617,43.7883
"bnp_paribas","lucrative",5.096088,43.640948
"bnp_paribas","lucrative",5.687663,43.448345
"bnp_paribas","lucrative",5.483966,43.595879
"bnp_paribas","lucrative",5.249721,43.447345
"bnp_paribas","lucrative",-0.70735,49.279164
"bnp_paribas","lucrative",-0.363021,49.181144
"bnp_paribas","lucrative",-0.39496,49.180088
"bnp_paribas","lucrative",-0.364382,49.18523
"bnp_paribas","lucrative",-0.345102,49.166806
"bnp_paribas","lucrative",-0.39123,49.173961
"bnp_paribas","lucrative",-0.338857,49.1746
"bnp_paribas","lucrative",-0.457765,49.333678
"bnp_paribas","lucrative",0.074857,49.359736
"bnp_paribas","lucrative",-0.098766,49.286932
"bnp_paribas","lucrative",-0.373466,49.296849
"bnp_paribas","lucrative",0.226272,49.146039
"bnp_paribas","lucrative",4.887874,43.913989
"bnp_paribas","lucrative",-0.258845,49.286562
"bnp_paribas","lucrative",-0.889746,48.839675
"bnp_paribas","lucrative",2.444162,44.928629
"bnp_paribas","lucrative",3.084955,45.033319
"bnp_paribas","lucrative",0.155509,45.648807
"bnp_paribas","lucrative",-0.324895,45.693577
"bnp_paribas","lucrative",-0.174227,45.679292
"bnp_paribas","lucrative",0.193412,46.02889
"bnp_paribas","lucrative",1.374153,44.008867
"bnp_paribas","lucrative",-1.09159,46.076403
"bnp_paribas","lucrative",-0.43722,45.44443
"bnp_paribas","lucrative",-1.325182,46.188361
"bnp_paribas","lucrative",-1.153764,46.158343
"bnp_paribas","lucrative",-1.165945,46.159799
"bnp_paribas","lucrative",-1.149266,46.161472
