"Banque","Type","Adresse"
"Société_Générale","lucrative","1 AVENUE DE VERDUN01500 AMBERIEU EN BUGEY"
"Société_Générale","lucrative","30 BD DU MAIL01300 BELLEY"
"Société_Générale","lucrative","15 PL BERNARD01000 BOURG-EN-BRESSE"
"Société_Générale","lucrative","252 AV DE GENEVE01220 DIVONNE LES BAINS"
"Société_Générale","lucrative","4 AV VOLTAIRE01210 FERNEY-VOLTAIRE"
"Société_Générale","lucrative","39 PLACE DU JURA01170 GEX"
"Société_Générale","lucrative","84 R LEON M FOURNET01480 JASSANS RIOTTIER"
"Société_Générale","lucrative","53 RUE PASTEUR01150 LAGNIEU"
"Société_Générale","lucrative","5 RUE DE LYON01800 MEXIMIEUX"
"Société_Générale","lucrative","7 ET 9 RUE FRANCISCO FERRER01100 OYONNAX"
"Société_Générale","lucrative","3 RUE DE GEX01630 SAINT-GENIS-POUILLY"
"Société_Générale","lucrative","24 RUE LA REPUBLIQUE01200 BELLEGARDE-SUR-VALSERINE"
"Société_Générale","lucrative","1 RUE DU CHATEAU02110 BOHAIN EN VERMANDOIS"
"Société_Générale","lucrative","3 PL DU GAL DE GAULLE02310 CHARLY"
"Société_Générale","lucrative","1 PL DES ETATS UNIS02400 CHATEAU-THIERRY"
"Société_Générale","lucrative","24 RUE ARTHUR LACROIX02300 CHAUNY"
"Société_Générale","lucrative","135 PL D'ARMES02120 GUISE"
"Société_Générale","lucrative","35 RUE DE LA REPUBLIQUE02800 LA FERE"
"Société_Générale","lucrative","7 BD DE LYON02000 LAON"
"Société_Générale","lucrative","30 RUE ISLE02100 SAINT QUENTIN"
"Société_Générale","lucrative","41 RUE SAINT-MARTIN02200 SOISSONS"
"Société_Générale","lucrative","41 RUE SAINT MARTIN02200 SOISSONS"
"Société_Générale","lucrative","30 RUE ISLE02100 SAINT-QUENTIN"
"Société_Générale","lucrative","1 PL DU CENTENAIRE02140 VERVINS"
"Société_Générale","lucrative","2 RUE ALEXANDRE DUMAS02600 VILLERS COTTERETS"
"Société_Générale","lucrative","3 PL CENTENAIRE DE LA REPUBLI03300 CUSSET"
"Société_Générale","lucrative","50 GRANDE RUE03800 GANNAT"
"Société_Générale","lucrative","6B BD DE COURTAIS03100 MONTLUCON"
"Société_Générale","lucrative","48 PL D'ALLIER03000 MOULINS"
"Société_Générale","lucrative","1 AV PASTEUR03500 ST POURCAIN/SIO."
"Société_Générale","lucrative","22 RUE PD WILSON03200 VICHY"
"Société_Générale","lucrative","22 RUE DU PRESIDENT WILSON03200 VICHY"
"Société_Générale","lucrative","RUE F DE LESSEPS04000 DIGNE LES BAINS"
"Société_Générale","lucrative","ROUTE NATIONALE 9604700 LA BRILLANNE"
"Société_Générale","lucrative","304 B AV DE LA LIBERATION04100 MANOSQUE"
"Société_Générale","lucrative","15 AV PAUL ARENE04200 SISTERON"
"Société_Générale","lucrative","324 RTE DE GRASSE06600 ANTIBES"
"Société_Générale","lucrative","8 9 PL GAL DE GAULLE06600 ANTIBES"
"Société_Générale","lucrative","1 BD MARECHAL JOFFRE06310 BEAULIEU-SUR-MER"
"Société_Générale","lucrative","64-66 AV DE NICE06800 CAGNES-SUR-MER"
"Société_Générale","lucrative","14 RUE D'ANTIBES06400 CANNES"
"Société_Générale","lucrative","14 RUE D'ANTIBES06400 CANNES"
"Société_Générale","lucrative","1 RUE DE LA VERRERIE06150 CANNES-LA-BOCCA"
