"Banque","Type","Longitude","Latitude"
"Société_Générale","lucrative",5.352692,45.960745
"Société_Générale","lucrative",5.688976,45.760242
"Société_Générale","lucrative",5.228049,46.206916
"Société_Générale","lucrative",6.13997,46.353359
"Société_Générale","lucrative",6.108773,46.256174
"Société_Générale","lucrative",6.059007,46.332269
"Société_Générale","lucrative",4.75626,45.985459
"Société_Générale","lucrative",5.348672,45.90266
"Société_Générale","lucrative",5.191584,45.902873
"Société_Générale","lucrative",5.657156,46.257332
"Société_Générale","lucrative",6.02089,46.243471
"Société_Générale","lucrative",5.827102,46.107772
"Société_Générale","lucrative",3.455209,49.986678
"Société_Générale","lucrative",5.352386,43.465592
"Société_Générale","lucrative",3.402076,49.044533
"Société_Générale","lucrative",3.222444,49.612105
"Société_Générale","lucrative",3.626907,49.900723
"Société_Générale","lucrative",3.366891,49.661257
"Société_Générale","lucrative",3.624766,49.56966
"Société_Générale","lucrative",3.292839,49.845879
"Société_Générale","lucrative",3.328184,49.379103
"Société_Générale","lucrative",3.328184,49.379103
"Société_Générale","lucrative",3.292839,49.845879
"Société_Générale","lucrative",3.904894,49.833227
"Société_Générale","lucrative",3.090717,49.253574
"Société_Générale","lucrative",3.454918,46.134376
"Société_Générale","lucrative",3.19733,46.100613
"Société_Générale","lucrative",2.601499,46.340985
"Société_Générale","lucrative",4.931856,44.001379
"Société_Générale","lucrative",3.291107,46.309169
"Société_Générale","lucrative",3.428477,46.129624
"Société_Générale","lucrative",3.421021,46.124991
"Société_Générale","lucrative",6.189919,44.07656
"Société_Générale","lucrative",5.889802,43.930792
"Société_Générale","lucrative",5.794106,43.820024
"Société_Générale","lucrative",5.94272,44.19549
"Société_Générale","lucrative",7.102988,43.592403
"Société_Générale","lucrative",7.120903,43.580284
"Société_Générale","lucrative",7.331168,43.706375
"Société_Générale","lucrative",7.160971,43.658304
"Société_Générale","lucrative",7.01712,43.552275
"Société_Générale","lucrative",7.01712,43.552275
"Société_Générale","lucrative",2.919409,48.255941
"Société_Générale","lucrative",7.027996,43.548964
"Société_Générale","lucrative",7.19044,43.773015
"Société_Générale","lucrative",7.016216,43.574501
"Société_Générale","lucrative",7.190752,43.675181
"Société_Générale","lucrative",6.940313,43.644799
"Société_Générale","lucrative",6.940313,43.644799
"Société_Générale","lucrative",0.198297,48.022486
"Société_Générale","lucrative",7.099924,43.686921
"Société_Générale","lucrative",7.016375,43.574102
"Société_Générale","lucrative",7.000404,43.572479
"Société_Générale","lucrative",6.940229,43.545554
"Société_Générale","lucrative",7.497889,43.773888
"Société_Générale","lucrative",7.511776,43.78251
"Société_Générale","lucrative",6.966573,43.614089
"Société_Générale","lucrative",6.986308,43.597841
"Société_Générale","lucrative",7.216494,43.667161
"Société_Générale","lucrative",7.216494,43.667161
"Société_Générale","lucrative",7.271738,43.714848
"Société_Générale","lucrative",7.216494,43.667161
"Société_Générale","lucrative",7.269161,43.69903
"Société_Générale","lucrative",7.256732,43.720176
"Société_Générale","lucrative",7.251632,43.695784
"Société_Générale","lucrative",7.269161,43.69903
"Société_Générale","lucrative",7.28516,43.698694
"Société_Générale","lucrative",7.253473,43.695474
"Société_Générale","lucrative",7.26245,43.71009
"Société_Générale","lucrative",7.242441,43.690498
"Société_Générale","lucrative",7.259533,43.699648
"Société_Générale","lucrative",7.281348,43.702809
"Société_Générale","lucrative",7.292907,43.709151
"Société_Générale","lucrative",7.249973,43.725545
"Société_Générale","lucrative",7.220653,43.678022
"Société_Générale","lucrative",6.87716,43.641783
"Société_Générale","lucrative",7.190752,43.675181
"Société_Générale","lucrative",7.192208,43.821715
"Société_Générale","lucrative",7.28783,43.741495
"Société_Générale","lucrative",7.189001,43.675096
"Société_Générale","lucrative",7.039893,43.621817
"Société_Générale","lucrative",-0.3492,49.214235
"Société_Générale","lucrative",7.00737,43.640653
"Société_Générale","lucrative",7.073912,43.567404
"Société_Générale","lucrative",7.110279,43.722852
"Société_Générale","lucrative",7.141285,43.641727
"Société_Générale","lucrative",4.672507,45.240411
"Société_Générale","lucrative",4.388475,44.619322
"Société_Générale","lucrative",4.880354,44.933214
"Société_Générale","lucrative",4.342231,44.45253
"Société_Générale","lucrative",4.833898,45.067614
"Société_Générale","lucrative",4.722369,49.769889
"Société_Générale","lucrative",4.826574,50.136129
"Société_Générale","lucrative",4.365832,49.509092
"Société_Générale","lucrative",4.944531,49.700885
"Société_Générale","lucrative",4.701743,49.397697
"Société_Générale","lucrative",1.839619,42.720666
"Société_Générale","lucrative",1.329723,47.582847
"Société_Générale","lucrative",1.329723,47.582847
"Société_Générale","lucrative",1.849492,42.933869
"Société_Générale","lucrative",1.620217,43.104396
"Société_Générale","lucrative",1.144685,42.983859
